Site_name2,Site_name,Latitude,Longitude,Country,Max_date,Min_date,Type,Group,Hominin,Artifact_Class,Present,citation
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,bone,no,NA
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,engravedOchre,no,NA
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,engravedStone,no,NA
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,exotic,no,NA
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,hafting,no,NA
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,ornamentation,no,NA
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,wooden,no,NA
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,art,yes,Vogelsang et al. 2010
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,engraved,yes,Vogelsang et al. 2010
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,engravedBone,yes,Vogelsang et al. 2010
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,engravedEggshell,yes,Vogelsang et al. 2010
Apollo 11,Apollo 11,-27.36666667,16.5,Namibia,n/a,67,Cave,45-99,no,ochre,yes,Vogelsang et al. 2010
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,bone,no,NA
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,engraved,no,NA
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,engravedBone,no,NA
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,engravedEggshell,no,NA
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,engravedOchre,no,NA
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,engravedStone,no,NA
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,exotic,no,NA
Auditorium Cave,Auditorium Cave,22.93333333,77.6,India,NA,100,Cave,45-99,no,hafting,no,NA
